date,platform,campaign_id,adset_id,ad_id,campaign_name,adset_name,ad_name,spend,impressions,clicks,conversions,country,objective,campaign_clean,audience,creative_type,year,month
2023-10-18,Facebook,FA1001,AS50001,AD900001,ITA AutumnBrandPushAwareness,it -_all,AUTUMN BRAND -_cr | img,175.74,27625,499,6,IT,Awareness,Autumn Brand Push,Broad,image,2023,10
2023-10-19,Facebook,FA1001,AS50001,AD900001,ITA AutumnBrandPushAwareness,it -_all,AUTUMN BRAND -_cr | img,89.4,14156,239,5,IT,Awareness,Autumn Brand Push,Broad,image,2023,10
2023-10-20,Facebook,FA1001,AS50001,AD900001,ITA AutumnBrandPushAwareness,it -_all,AUTUMN BRAND -_cr | img,61.9,10826,128,2,IT,Awareness,Autumn Brand Push,Broad,image,2023,10
2023-10-21,Facebook,FA1001,AS50001,AD900001,ITA AutumnBrandPushAwareness,it -_all,AUTUMN BRAND -_cr | img,76.45,12585,168,5,IT,Awareness,Autumn Brand Push,Broad,image,2023,10
2023-10-22,Facebook,FA1001,AS50001,AD900001,ITA AutumnBrandPushAwareness,it -_all,AUTUMN BRAND -_cr | img,192.54,29119,393,13,IT,Awareness,Autumn Brand Push,Broad,image,2023,10
2023-10-23,Facebook,FA1001,AS50001,AD900001,ITA AutumnBrandPushAwareness,it -_all,AUTUMN BRAND -_cr | img,181.97,24675,434,16,IT,Awareness,Autumn Brand Push,Broad,image,2023,10
2023-10-24,Facebook,FA1001,AS50001,AD900001,ITA AutumnBrandPushAwareness,it -_all,AUTUMN BRAND -_cr | img,46.5,5550,62,1,IT,Awareness,Autumn Brand Push,Broad,image,2023,10
2023-10-25,Facebook,FA1001,AS50001,AD900001,ITA AutumnBrandPushAwareness,it -_all,AUTUMN BRAND -_cr | img,167.48,22076,215,6,IT,Awareness,Autumn Brand Push,Broad,image,2023,10
2023-10-26,Facebook,FA1001,AS50001,AD900001,ITA AutumnBrandPushAwareness,it -_all,AUTUMN BRAND -_cr | img,51.08,8829,156,3,IT,Awareness,Autumn Brand Push,Broad,image,2023,10
2023-10-27,Facebook,FA1001,AS50001,AD900001,ITA AutumnBrandPushAwareness,it -_all,AUTUMN BRAND -_cr | img,135.98,17796,317,10,IT,Awareness,Autumn Brand Push,Broad,image,2023,10
2023-10-28,Facebook,FA1001,AS50001,AD900001,ITA AutumnBrandPushAwareness,it -_all,AUTUMN BRAND -_cr | img,47.31,7754,105,1,IT,Awareness,Autumn Brand Push,Broad,image,2023,10
2023-10-29,Facebook,FA1001,AS50001,AD900001,ITA AutumnBrandPushAwareness,it -_all,AUTUMN BRAND -_cr | img,145.63,20689,371,14,IT,Awareness,Autumn Brand Push,Broad,image,2023,10
2023-10-30,Facebook,FA1001,AS50001,AD900001,ITA AutumnBrandPushAwareness,it -_all,AUTUMN BRAND -_cr | img,60.5,11742,186,2,IT,Awareness,Autumn Brand Push,Broad,image,2023,10
2023-10-31,Facebook,FA1001,AS50001,AD900001,ITA AutumnBrandPushAwareness,it -_all,AUTUMN BRAND -_cr | img,75.85,11033,110,3,IT,Awareness,Autumn Brand Push,Broad,image,2023,10
2023-10-01,Facebook,FA1001,AS50001,AD900002,ITA AutumnBrandPushAwareness,it -_all,crautumn brand||v2,203.68,48863,703,23,IT,Awareness,Autumn Brand Push,Broad,UNKNOWN,2023,10
2023-10-02,Facebook,FA1001,AS50001,AD900002,ITA AutumnBrandPushAwareness,it -_all,crautumn brand||v2,196.02,36494,366,13,IT,Awareness,Autumn Brand Push,Broad,UNKNOWN,2023,10
2023-10-03,Facebook,FA1001,AS50001,AD900002,ITA AutumnBrandPushAwareness,it -_all,crautumn brand||v2,185.47,37185,494,15,IT,Awareness,Autumn Brand Push,Broad,UNKNOWN,2023,10
2023-10-04,Facebook,FA1001,AS50001,AD900002,ITA AutumnBrandPushAwareness,it -_all,crautumn brand||v2,175.26,36200,578,19,IT,Awareness,Autumn Brand Push,Broad,UNKNOWN,2023,10
2023-10-05,Facebook,FA1001,AS50001,AD900002,ITA AutumnBrandPushAwareness,it -_all,crautumn brand||v2,127.95,26525,223,4,IT,Awareness,Autumn Brand Push,Broad,UNKNOWN,2023,10
2023-10-06,Facebook,FA1001,AS50001,AD900002,ITA AutumnBrandPushAwareness,it -_all,crautumn brand||v2,169.26,40072,324,6,IT,Awareness,Autumn Brand Push,Broad,UNKNOWN,2023,10
2023-10-07,Facebook,FA1001,AS50001,AD900002,ITA AutumnBrandPushAwareness,it -_all,crautumn brand||v2,57.71,12156,100,2,IT,Awareness,Autumn Brand Push,Broad,UNKNOWN,2023,10
2023-10-08,Facebook,FA1001,AS50001,AD900002,ITA AutumnBrandPushAwareness,it -_all,crautumn brand||v2,174.19,28391,272,5,IT,Awareness,Autumn Brand Push,Broad,UNKNOWN,2023,10
2023-10-09,Facebook,FA1001,AS50001,AD900002,ITA AutumnBrandPushAwareness,it -_all,crautumn brand||v2,134.46,15449,307,5,IT,Awareness,Autumn Brand Push,Broad,UNKNOWN,2023,10
2023-10-10,Facebook,FA1001,AS50001,AD900002,ITA AutumnBrandPushAwareness,it -_all,crautumn brand||v2,41.69,5113,97,2,IT,Awareness,Autumn Brand Push,Broad,UNKNOWN,2023,10
2023-10-11,Facebook,FA1001,AS50001,AD900002,ITA AutumnBrandPushAwareness,it -_all,crautumn brand||v2,163.43,19617,300,10,IT,Awareness,Autumn Brand Push,Broad,UNKNOWN,2023,10
2023-10-12,Facebook,FA1001,AS50001,AD900002,ITA AutumnBrandPushAwareness,it -_all,crautumn brand||v2,43.82,8178,92,1,IT,Awareness,Autumn Brand Push,Broad,UNKNOWN,2023,10
2023-10-13,Facebook,FA1001,AS50001,AD900002,ITA AutumnBrandPushAwareness,it -_all,crautumn brand||v2,185.71,44725,718,8,IT,Awareness,Autumn Brand Push,Broad,UNKNOWN,2023,10
2023-10-14,Facebook,FA1001,AS50001,AD900002,ITA AutumnBrandPushAwareness,it -_all,crautumn brand||v2,112.38,18451,187,4,IT,Awareness,Autumn Brand Push,Broad,UNKNOWN,2023,10
2023-10-15,Facebook,FA1001,AS50001,AD900002,ITA AutumnBrandPushAwareness,it -_all,crautumn brand||v2,144.44,25861,435,6,IT,Awareness,Autumn Brand Push,Broad,UNKNOWN,2023,10
2023-10-16,Facebook,FA1001,AS50001,AD900002,ITA AutumnBrandPushAwareness,it -_all,crautumn brand||v2,70.8,12264,153,2,IT,Awareness,Autumn Brand Push,Broad,UNKNOWN,2023,10
2023-10-17,Facebook,FA1001,AS50001,AD900002,ITA AutumnBrandPushAwareness,it -_all,crautumn brand||v2,186.99,22970,213,4,IT,Awareness,Autumn Brand Push,Broad,UNKNOWN,2023,10
2023-10-18,Facebook,FA1001,AS50001,AD900002,ITA AutumnBrandPushAwareness,it -_all,crautumn brand||v2,77.23,12346,139,3,IT,Awareness,Autumn Brand Push,Broad,UNKNOWN,2023,10
2023-10-19,Facebook,FA1001,AS50001,AD900002,ITA AutumnBrandPushAwareness,it -_all,crautumn brand||v2,187.62,31732,501,13,IT,Awareness,Autumn Brand Push,Broad,UNKNOWN,2023,10
2023-10-20,Facebook,FA1001,AS50001,AD900002,ITA AutumnBrandPushAwareness,it -_all,crautumn brand||v2,160.31,37209,630,24,IT,Awareness,Autumn Brand Push,Broad,UNKNOWN,2023,10
2023-10-21,Facebook,FA1001,AS50001,AD900002,ITA AutumnBrandPushAwareness,it -_all,crautumn brand||v2,157.05,28880,464,14,IT,Awareness,Autumn Brand Push,Broad,UNKNOWN,2023,10
2023-10-22,Facebook,FA1001,AS50001,AD900002,ITA AutumnBrandPushAwareness,it -_all,crautumn brand||v2,166.79,35227,693,26,IT,Awareness,Autumn Brand Push,Broad,UNKNOWN,2023,10
2023-10-23,Facebook,FA1001,AS50001,AD900002,ITA AutumnBrandPushAwareness,it -_all,crautumn brand||v2,107.94,15490,131,5,IT,Awareness,Autumn Brand Push,Broad,UNKNOWN,2023,10
2023-10-24,Facebook,FA1001,AS50001,AD900002,ITA AutumnBrandPushAwareness,it -_all,crautumn brand||v2,171.0,23807,407,6,IT,Awareness,Autumn Brand Push,Broad,UNKNOWN,2023,10
2023-10-25,Facebook,FA1001,AS50001,AD900002,ITA AutumnBrandPushAwareness,it -_all,crautumn brand||v2,89.22,17052,258,3,IT,Awareness,Autumn Brand Push,Broad,UNKNOWN,2023,10
2023-10-26,Facebook,FA1001,AS50001,AD900002,ITA AutumnBrandPushAwareness,it -_all,crautumn brand||v2,183.3,29042,387,5,IT,Awareness,Autumn Brand Push,Broad,UNKNOWN,2023,10
2023-10-27,Facebook,FA1001,AS50001,AD900002,ITA AutumnBrandPushAwareness,it -_all,crautumn brand||v2,149.58,18502,287,4,IT,Awareness,Autumn Brand Push,Broad,UNKNOWN,2023,10
2023-10-28,Facebook,FA1001,AS50001,AD900002,ITA AutumnBrandPushAwareness,it -_all,crautumn brand||v2,190.52,40292,722,19,IT,Awareness,Autumn Brand Push,Broad,UNKNOWN,2023,10
2023-10-29,Facebook,FA1001,AS50001,AD900002,ITA AutumnBrandPushAwareness,it -_all,crautumn brand||v2,99.24,15113,234,4,IT,Awareness,Autumn Brand Push,Broad,UNKNOWN,2023,10
2023-10-30,Facebook,FA1001,AS50001,AD900002,ITA AutumnBrandPushAwareness,it -_all,crautumn brand||v2,175.51,28742,537,18,IT,Awareness,Autumn Brand Push,Broad,UNKNOWN,2023,10
2023-10-31,Facebook,FA1001,AS50001,AD900002,ITA AutumnBrandPushAwareness,it -_all,crautumn brand||v2,55.9,7730,90,2,IT,Awareness,Autumn Brand Push,Broad,UNKNOWN,2023,10
2023-10-01,Instagram,IN1002,AS50002,AD900003,copy-AUTMN BRAND  Brand.It,Broad.It_reels,autumn brand||creative  v1_2023,63.81,8238,137,1,IT,Awareness,Autumn Brand Push,Broad,UNKNOWN,2023,10
2023-10-02,Instagram,IN1002,AS50002,AD900003,copy-AUTMN BRAND  Brand.It,Broad.It_reels,autumn brand||creative  v1_2023,56.51,8110,52,1,IT,Awareness,Autumn Brand Push,Broad,UNKNOWN,2023,10
2023-10-03,Instagram,IN1002,AS50002,AD900003,copy-AUTMN BRAND  Brand.It,Broad.It_reels,autumn brand||creative  v1_2023,56.82,5481,72,1,IT,Awareness,Autumn Brand Push,Broad,UNKNOWN,2023,10
2023-10-04,Instagram,IN1002,AS50002,AD900003,copy-AUTMN BRAND  Brand.It,Broad.It_reels,autumn brand||creative  v1_2023,86.47,15185,100,2,IT,Awareness,Autumn Brand Push,Broad,UNKNOWN,2023,10
2023-10-05,Instagram,IN1002,AS50002,AD900003,copy-AUTMN BRAND  Brand.It,Broad.It_reels,autumn brand||creative  v1_2023,43.46,6062,100,1,IT,Awareness,Autumn Brand Push,Broad,UNKNOWN,2023,10
2023-10-06,Instagram,IN1002,AS50002,AD900003,copy-AUTMN BRAND  Brand.It,Broad.It_reels,autumn brand||creative  v1_2023,79.73,8994,89,0,IT,Awareness,Autumn Brand Push,Broad,UNKNOWN,2023,10
2023-10-07,Instagram,IN1002,AS50002,AD900003,copy-AUTMN BRAND  Brand.It,Broad.It_reels,autumn brand||creative  v1_2023,39.86,3687,40,0,IT,Awareness,Autumn Brand Push,Broad,UNKNOWN,2023,10
2023-10-08,Instagram,IN1002,AS50002,AD900003,copy-AUTMN BRAND  Brand.It,Broad.It_reels,autumn brand||creative  v1_2023,44.12,4243,33,0,IT,Awareness,Autumn Brand Push,Broad,UNKNOWN,2023,10
2023-10-09,Instagram,IN1002,AS50002,AD900003,copy-AUTMN BRAND  Brand.It,Broad.It_reels,autumn brand||creative  v1_2023,26.94,2501,30,0,IT,Awareness,Autumn Brand Push,Broad,UNKNOWN,2023,10
2023-10-10,Instagram,IN1002,AS50002,AD900003,copy-AUTMN BRAND  Brand.It,Broad.It_reels,autumn brand||creative  v1_2023,82.67,11563,170,3,IT,Awareness,Autumn Brand Push,Broad,UNKNOWN,2023,10
2023-10-11,Instagram,IN1002,AS50002,AD900003,copy-AUTMN BRAND  Brand.It,Broad.It_reels,autumn brand||creative  v1_2023,23.98,4254,33,0,IT,Awareness,Autumn Brand Push,Broad,UNKNOWN,2023,10
2023-10-12,Instagram,IN1002,AS50002,AD900003,copy-AUTMN BRAND  Brand.It,Broad.It_reels,autumn brand||creative  v1_2023,21.19,4011,69,0,IT,Awareness,Autumn Brand Push,Broad,UNKNOWN,2023,10
2023-10-13,Instagram,IN1002,AS50002,AD900003,copy-AUTMN BRAND  Brand.It,Broad.It_reels,autumn brand||creative  v1_2023,53.08,9293,79,1,IT,Awareness,Autumn Brand Push,Broad,UNKNOWN,2023,10
2023-10-14,Instagram,IN1002,AS50002,AD900003,copy-AUTMN BRAND  Brand.It,Broad.It_reels,autumn brand||creative  v1_2023,95.64,12232,74,2,IT,Awareness,Autumn Brand Push,Broad,UNKNOWN,2023,10
2023-10-15,Instagram,IN1002,AS50002,AD900003,copy-AUTMN BRAND  Brand.It,Broad.It_reels,autumn brand||creative  v1_2023,23.97,3267,40,1,IT,Awareness,Autumn Brand Push,Broad,UNKNOWN,2023,10
2023-10-16,Instagram,IN1002,AS50002,AD900003,copy-AUTMN BRAND  Brand.It,Broad.It_reels,autumn brand||creative  v1_2023,75.12,8678,93,2,IT,Awareness,Autumn Brand Push,Broad,UNKNOWN,2023,10
2023-10-17,Instagram,IN1002,AS50002,AD900003,copy-AUTMN BRAND  Brand.It,Broad.It_reels,autumn brand||creative  v1_2023,78.33,7655,111,1,IT,Awareness,Autumn Brand Push,Broad,UNKNOWN,2023,10
2023-10-18,Instagram,IN1002,AS50002,AD900003,copy-AUTMN BRAND  Brand.It,Broad.It_reels,autumn brand||creative  v1_2023,38.4,4851,58,1,IT,Awareness,Autumn Brand Push,Broad,UNKNOWN,2023,10
2023-10-19,Instagram,IN1002,AS50002,AD900003,copy-AUTMN BRAND  Brand.It,Broad.It_reels,autumn brand||creative  v1_2023,34.15,3799,39,0,IT,Awareness,Autumn Brand Push,Broad,UNKNOWN,2023,10
2023-10-20,Instagram,IN1002,AS50002,AD900003,copy-AUTMN BRAND  Brand.It,Broad.It_reels,autumn brand||creative  v1_2023,31.2,3969,28,0,IT,Awareness,Autumn Brand Push,Broad,UNKNOWN,2023,10
2023-10-21,Instagram,IN1002,AS50002,AD900003,copy-AUTMN BRAND  Brand.It,Broad.It_reels,autumn brand||creative  v1_2023,95.41,13834,231,4,IT,Awareness,Autumn Brand Push,Broad,UNKNOWN,2023,10
2023-10-22,Instagram,IN1002,AS50002,AD900003,copy-AUTMN BRAND  Brand.It,Broad.It_reels,autumn brand||creative  v1_2023,23.27,2384,15,0,IT,Awareness,Autumn Brand Push,Broad,UNKNOWN,2023,10
2023-10-23,Instagram,IN1002,AS50002,AD900003,copy-AUTMN BRAND  Brand.It,Broad.It_reels,autumn brand||creative  v1_2023,18.12,2003,16,0,IT,Awareness,Autumn Brand Push,Broad,UNKNOWN,2023,10
2023-10-24,Instagram,IN1002,AS50002,AD900003,copy-AUTMN BRAND  Brand.It,Broad.It_reels,autumn brand||creative  v1_2023,84.19,10633,147,3,IT,Awareness,Autumn Brand Push,Broad,UNKNOWN,2023,10
2023-10-25,Instagram,IN1002,AS50002,AD900003,copy-AUTMN BRAND  Brand.It,Broad.It_reels,autumn brand||creative  v1_2023,25.19,2510,42,0,IT,Awareness,Autumn Brand Push,Broad,UNKNOWN,2023,10
2023-10-26,Instagram,IN1002,AS50002,AD900003,copy-AUTMN BRAND  Brand.It,Broad.It_reels,autumn brand||creative  v1_2023,55.74,8318,123,1,IT,Awareness,Autumn Brand Push,Broad,UNKNOWN,2023,10
2023-10-27,Instagram,IN1002,AS50002,AD900003,copy-AUTMN BRAND  Brand.It,Broad.It_reels,autumn brand||creative  v1_2023,53.38,5471,81,0,IT,Awareness,Autumn Brand Push,Broad,UNKNOWN,2023,10
2023-10-28,Instagram,IN1002,AS50002,AD900003,copy-AUTMN BRAND  Brand.It,Broad.It_reels,autumn brand||creative  v1_2023,87.18,13564,212,4,IT,Awareness,Autumn Brand Push,Broad,UNKNOWN,2023,10
2023-10-29,Instagram,IN1002,AS50002,AD900003,copy-AUTMN BRAND  Brand.It,Broad.It_reels,autumn brand||creative  v1_2023,33.07,3516,55,1,IT,Awareness,Autumn Brand Push,Broad,UNKNOWN,2023,10
2023-10-30,Instagram,IN1002,AS50002,AD900003,copy-AUTMN BRAND  Brand.It,Broad.It_reels,autumn brand||creative  v1_2023,85.04,13009,114,1,IT,Awareness,Autumn Brand Push,Broad,UNKNOWN,2023,10
2023-10-31,Instagram,IN1002,AS50002,AD900003,copy-AUTMN BRAND  Brand.It,Broad.It_reels,autumn brand||creative  v1_2023,55.26,7470,76,1,IT,Awareness,Autumn Brand Push,Broad,UNKNOWN,2023,10
2023-10-01,Instagram,IN1002,AS50002,AD900004,copy-AUTMN BRAND  Brand.It,Broad.It_reels,img.autumn brand_asset copy,42.23,8403,97,1,IT,Awareness,Autumn Brand Push,Broad,image,2023,10
2023-10-02,Instagram,IN1002,AS50002,AD900004,copy-AUTMN BRAND  Brand.It,Broad.It_reels,img.autumn brand_asset copy,48.98,4632,37,0,IT,Awareness,Autumn Brand Push,Broad,image,2023,10
2023-10-03,Instagram,IN1002,AS50002,AD900004,copy-AUTMN BRAND  Brand.It,Broad.It_reels,img.autumn brand_asset copy,62.61,9361,109,3,IT,Awareness,Autumn Brand Push,Broad,image,2023,10
2023-10-04,Instagram,IN1002,AS50002,AD900004,copy-AUTMN BRAND  Brand.It,Broad.It_reels,img.autumn brand_asset copy,41.47,4471,71,1,IT,Awareness,Autumn Brand Push,Broad,image,2023,10
2023-10-05,Instagram,IN1002,AS50002,AD900004,copy-AUTMN BRAND  Brand.It,Broad.It_reels,img.autumn brand_asset copy,86.79,9912,119,2,IT,Awareness,Autumn Brand Push,Broad,image,2023,10
2023-10-06,Instagram,IN1002,AS50002,AD900004,copy-AUTMN BRAND  Brand.It,Broad.It_reels,img.autumn brand_asset copy,47.17,5086,47,1,IT,Awareness,Autumn Brand Push,Broad,image,2023,10
2023-10-07,Instagram,IN1002,AS50002,AD900004,copy-AUTMN BRAND  Brand.It,Broad.It_reels,img.autumn brand_asset copy,63.75,9883,111,3,IT,Awareness,Autumn Brand Push,Broad,image,2023,10
2023-10-08,Instagram,IN1002,AS50002,AD900004,copy-AUTMN BRAND  Brand.It,Broad.It_reels,img.autumn brand_asset copy,85.09,10761,109,1,IT,Awareness,Autumn Brand Push,Broad,image,2023,10
2023-10-09,Instagram,IN1002,AS50002,AD900004,copy-AUTMN BRAND  Brand.It,Broad.It_reels,img.autumn brand_asset copy,86.18,15190,253,6,IT,Awareness,Autumn Brand Push,Broad,image,2023,10
2023-10-10,Instagram,IN1002,AS50002,AD900004,copy-AUTMN BRAND  Brand.It,Broad.It_reels,img.autumn brand_asset copy,33.21,4680,60,1,IT,Awareness,Autumn Brand Push,Broad,image,2023,10
2023-10-11,Instagram,IN1002,AS50002,AD900004,copy-AUTMN BRAND  Brand.It,Broad.It_reels,img.autumn brand_asset copy,84.03,7673,71,0,IT,Awareness,Autumn Brand Push,Broad,image,2023,10
2023-10-12,Instagram,IN1002,AS50002,AD900004,copy-AUTMN BRAND  Brand.It,Broad.It_reels,img.autumn brand_asset copy,51.64,6187,85,0,IT,Awareness,Autumn Brand Push,Broad,image,2023,10
2023-10-13,Instagram,IN1002,AS50002,AD900004,copy-AUTMN BRAND  Brand.It,Broad.It_reels,img.autumn brand_asset copy,62.74,5959,101,2,IT,Awareness,Autumn Brand Push,Broad,image,2023,10
2023-10-14,Instagram,IN1002,AS50002,AD900004,copy-AUTMN BRAND  Brand.It,Broad.It_reels,img.autumn brand_asset copy,94.37,8766,57,1,IT,Awareness,Autumn Brand Push,Broad,image,2023,10
2023-10-15,Instagram,IN1002,AS50002,AD900004,copy-AUTMN BRAND  Brand.It,Broad.It_reels,img.autumn brand_asset copy,41.96,6060,69,2,IT,Awareness,Autumn Brand Push,Broad,image,2023,10
2023-10-16,Instagram,IN1002,AS50002,AD900004,copy-AUTMN BRAND  Brand.It,Broad.It_reels,img.autumn brand_asset copy,59.86,8411,88,2,IT,Awareness,Autumn Brand Push,Broad,image,2023,10
2023-10-17,Instagram,IN1002,AS50002,AD900004,copy-AUTMN BRAND  Brand.It,Broad.It_reels,img.autumn brand_asset copy,75.06,12885,115,1,IT,Awareness,Autumn Brand Push,Broad,image,2023,10
2023-10-18,Instagram,IN1002,AS50002,AD900004,copy-AUTMN BRAND  Brand.It,Broad.It_reels,img.autumn brand_asset copy,32.67,3898,33,0,IT,Awareness,Autumn Brand Push,Broad,image,2023,10
2023-10-19,Instagram,IN1002,AS50002,AD900004,copy-AUTMN BRAND  Brand.It,Broad.It_reels,img.autumn brand_asset copy,83.02,8226,59,0,IT,Awareness,Autumn Brand Push,Broad,image,2023,10
2023-10-20,Instagram,IN1002,AS50002,AD900004,copy-AUTMN BRAND  Brand.It,Broad.It_reels,img.autumn brand_asset copy,46.39,5226,55,0,IT,Awareness,Autumn Brand Push,Broad,image,2023,10
2023-10-21,Instagram,IN1002,AS50002,AD900004,copy-AUTMN BRAND  Brand.It,Broad.It_reels,img.autumn brand_asset copy,47.87,7691,125,2,IT,Awareness,Autumn Brand Push,Broad,image,2023,10
2023-10-22,Instagram,IN1002,AS50002,AD900004,copy-AUTMN BRAND  Brand.It,Broad.It_reels,img.autumn brand_asset copy,53.21,5782,70,1,IT,Awareness,Autumn Brand Push,Broad,image,2023,10
2023-10-23,Instagram,IN1002,AS50002,AD900004,copy-AUTMN BRAND  Brand.It,Broad.It_reels,img.autumn brand_asset copy,43.21,5449,97,2,IT,Awareness,Autumn Brand Push,Broad,image,2023,10
2023-10-24,Instagram,IN1002,AS50002,AD900004,copy-AUTMN BRAND  Brand.It,Broad.It_reels,img.autumn brand_asset copy,75.44,13128,158,2,IT,Awareness,Autumn Brand Push,Broad,image,2023,10
2023-10-25,Instagram,IN1002,AS50002,AD900004,copy-AUTMN BRAND  Brand.It,Broad.It_reels,img.autumn brand_asset copy,23.72,3217,22,0,IT,Awareness,Autumn Brand Push,Broad,image,2023,10
2023-10-26,Instagram,IN1002,AS50002,AD900004,copy-AUTMN BRAND  Brand.It,Broad.It_reels,img.autumn brand_asset copy,73.41,8051,115,1,IT,Awareness,Autumn Brand Push,Broad,image,2023,10
2023-10-27,Instagram,IN1002,AS50002,AD900004,copy-AUTMN BRAND  Brand.It,Broad.It_reels,img.autumn brand_asset copy,28.98,5649,40,0,IT,Awareness,Autumn Brand Push,Broad,image,2023,10
2023-10-28,Instagram,IN1002,AS50002,AD900004,copy-AUTMN BRAND  Brand.It,Broad.It_reels,img.autumn brand_asset copy,97.42,9400,79,1,IT,Awareness,Autumn Brand Push,Broad,image,2023,10
2023-10-29,Instagram,IN1002,AS50002,AD900004,copy-AUTMN BRAND  Brand.It,Broad.It_reels,img.autumn brand_asset copy,97.48,11577,120,2,IT,Awareness,Autumn Brand Push,Broad,image,2023,10
2023-10-30,Instagram,IN1002,AS50002,AD900004,copy-AUTMN BRAND  Brand.It,Broad.It_reels,img.autumn brand_asset copy,36.55,4299,63,1,IT,Awareness,Autumn Brand Push,Broad,image,2023,10
2023-10-31,Instagram,IN1002,AS50002,AD900004,copy-AUTMN BRAND  Brand.It,Broad.It_reels,img.autumn brand_asset copy,74.95,13197,174,5,IT,Awareness,Autumn Brand Push,Broad,image,2023,10
2023-10-01,Instagram,IN1002,AS50003,AD900005,copy-AUTMN BRAND  Brand.It,BROAD||i.t.,cr  AUTUMNBRANDP -_static,64.25,8061,109,1,IT,Awareness,Autumn Brand Push,Broad,static,2023,10
2023-10-02,Instagram,IN1002,AS50003,AD900005,copy-AUTMN BRAND  Brand.It,BROAD||i.t.,cr  AUTUMNBRANDP -_static,170.05,21491,252,7,IT,Awareness,Autumn Brand Push,Broad,static,2023,10
2023-10-03,Instagram,IN1002,AS50003,AD900005,copy-AUTMN BRAND  Brand.It,BROAD||i.t.,cr  AUTUMNBRANDP -_static,37.23,3645,27,0,IT,Awareness,Autumn Brand Push,Broad,static,2023,10
